unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount
1618704000000,2021-04-18 00:00:00,BTC/USDT,60090.14,60450.00,50050.00,56140.05,522006.276,29025717493.56943,6123918
1618617600000,2021-04-17 00:00:00,BTC/USDT,61424.67,62610.00,59620.00,60090.14,194112.299,11862499746.34749,2207548
1618531200000,2021-04-16 00:00:00,BTC/USDT,63232.56,63600.00,60100.00,61424.67,255765.893,15740427372.09463,2804338
1618444800000,2021-04-15 00:00:00,BTC/USDT,63018.34,63905.83,62157.89,63232.55,178604.198,11249310339.67892,2024715
1618358400000,2021-04-14 00:00:00,BTC/USDT,63645.05,64986.11,61404.00,63019.10,323454.880,20512671253.01205,3346550
1618272000000,2021-04-13 00:00:00,BTC/USDT,59911.19,63850.00,59873.01,63649.71,279389.492,17408986053.32569,2892252
1618185600000,2021-04-12 00:00:00,BTC/USDT,60093.26,61449.91,59500.00,59911.18,196147.561,11824507197.55324,2141177
1618099200000,2021-04-11 00:00:00,BTC/USDT,59832.43,60816.88,59304.02,60090.20,148499.824,8896497492.08689,1746745
1618012800000,2021-04-10 00:00:00,BTC/USDT,58176.04,61800.00,57943.95,59832.43,240907.592,14476191585.21529,2568013
1617926400000,2021-04-09 00:00:00,BTC/USDT,58122.93,58950.00,57700.00,58176.03,141690.144,8260112160.68546,1631493
1617840000000,2021-04-08 00:00:00,BTC/USDT,56018.17,58200.00,55759.13,58122.26,161389.858,9238696877.00206,1886407
1617753600000,2021-04-07 00:00:00,BTC/USDT,58060.00,58720.00,55536.07,56018.18,265271.707,15106714000.51917,2888669
1617667200000,2021-04-06 00:00:00,BTC/USDT,59243.40,59626.18,57500.00,58059.99,165562.029,9681501016.80336,1949118
1617580800000,2021-04-05 00:00:00,BTC/USDT,58234.61,59385.00,56808.94,59243.39,174338.646,10144751892.15272,2011408
1617494400000,2021-04-04 00:00:00,BTC/USDT,57134.65,58553.00,56517.23,58234.61,152454.122,8785593781.44870,1778714
1617408000000,2021-04-03 00:00:00,BTC/USDT,59028.99,59925.00,56900.00,57134.65,198636.171,11672141257.52950,2247303
1617321600000,2021-04-02 00:00:00,BTC/USDT,58797.56,60397.85,58490.03,59031.36,189391.958,11251166314.77901,2130064
1617235200000,2021-04-01 00:00:00,BTC/USDT,58810.99,59592.22,58002.00,58794.01,196332.114,11561694922.60452,2133428
